id,code,name,fiber_id:id
color_process_type_00,"00","SIN TEÑIDO",idtx_laboratory.color_fiber_todas
color_process_type_01,"01","BLANCOS OPTICOS",idtx_laboratory.color_fiber_todas
color_process_type_02,"02","DIRECTOS",idtx_laboratory.color_fiber_algodon
color_process_type_03,"03","REACTIVOS",idtx_laboratory.color_fiber_algodon
color_process_type_04,"04","REACTIVOS",idtx_laboratory.color_fiber_viscosa
color_process_type_05,"05","DISPERSOS",idtx_laboratory.color_fiber_poliester
color_process_type_06,"06","PIGMENTOS",idtx_laboratory.color_fiber_algodon_viscosa
color_process_type_07,"07","DISPERSO/REACTIVO",idtx_laboratory.color_fiber_poliester_algodon
color_process_type_08,"08","DISPERSO/REACTIVO",idtx_laboratory.color_fiber_poliester_viscosa
color_process_type_09,"09","ACIDO / REACTIVO",idtx_laboratory.color_fiber_poliamida_algodon
color_process_type_0A,"0A","ACIDO",idtx_laboratory.color_fiber_poliamida
color_process_type_0B,"0B","BASICO",idtx_laboratory.color_fiber_acriclico
color_process_type_0T,"0T","TINA",idtx_laboratory.color_fiber_algodon
color_process_type_DT,"DT","DISPERSO/TINA",idtx_laboratory.color_fiber_polycotton
color_process_type_D3,"D3","REACTIVOS DISCHARGE",idtx_laboratory.color_fiber_algodon
color_process_type_D4,"D4","REACTIVOS DISCHARGE",idtx_laboratory.color_fiber_viscosa
color_process_type_0X,"0X","POR DEFINIR",idtx_laboratory.color_fiber_todas
