id,workcenter_id,name,type_prices,unit_price,currency_id:id
mrp_wco_1,"Estampado","EMPASTADO PP ESTAMPADO DIGITAL REACTIVO","pp",0.00,base.USD
mrp_wco_2,"Tejeduría","RIB 2X1 FEED F/LYCRA","pp",1.50,base.USD
mrp_wco_3,"Tejeduría","RIB 2X2 2 CABOS","pp",0.00,base.USD
mrp_wco_4,"Tintorería","TERMOFIJADO TUBULAR","pp",0.00,base.USD
mrp_wco_5,"Tejeduría","FRANELA","pp",0.00,base.USD
mrp_wco_6,"Tejeduría","RECTILINEO CON RELIEVE CLOQUE","pp",10.10,base.USD
mrp_wco_7,"Tejeduría","RECTILINEOS SIMPLE C/TIPPING","pp",0.00,base.USD
mrp_wco_8,"Tejeduría","TEJIDO ESTRUCTURA 2 FONTURAS LISTADO INGENIERIA","pp",0.00,base.USD
mrp_wco_9,"Tejeduría","INTERLOCK F/LYCRA","pp",0.00,base.USD
mrp_wco_10,"Tejeduría","DURIA INTERLOCK SIMPLE 21/03/2025 12:04 TEJEDURIA INTERLOCK LYCRADO","pp",0.00,base.USD
mrp_wco_11,"Tejeduría","RECTILINEOS OTTOMAN","pp",0.00,base.USD
mrp_wco_12,"Tejeduría","PIQUE SIMPLE LYCRADO 36 O 40","pp",1.50,base.USD
mrp_wco_13,"Tejeduría","RIB 2X1 INGENIERIA F/LYCRA","pp",0.00,base.USD
mrp_wco_14,"Tejeduría","JERSEY VANISADO FEED","pp",0.00,base.USD
mrp_wco_15,"Tejeduría","RIB 2X1 FEED","pp",1.80,base.USD
mrp_wco_16,"Acabados","RESINADO LUXURY 1/2 RECETA","pp",0.00,base.USD
mrp_wco_17,"Acabados","WICKING + BE SO COOL","pp",0.74,base.USD
mrp_wco_18,"Tintorería","ANTIMICROBIAL","pp",1.00,base.USD
mrp_wco_19,"Estampado","POLIMERIZADO","pp",0.00,base.USD
mrp_wco_20,"Estampado","ESTAMPADO ROTATIVO PIGMENTO","pp",0.00,base.USD
mrp_wco_21,"Tejeduría","JERSEY CALADO F/LYCRA","pp",0.00,base.USD
mrp_wco_22,"Acabados","RESINADO LIBRE DE FORMALDEHIDO","pp",0.78,base.USD
mrp_wco_23,"Acabados","RESINADO HIDRODUGO","pp",0.00,base.USD
mrp_wco_24,"Tintorería","REMALLE TUBULAR CARA ADENTRO","pp",0.00,base.USD
mrp_wco_25,"Tejeduría","INTERLOCK FEED","pp",0.00,base.USD
mrp_wco_26,"Tejeduría","RIB PUNTO INGLES","pp",1.60,base.USD
mrp_wco_27,"Tejeduría","JERSEY RANDOM","pp",0.00,base.USD
mrp_wco_28,"Tejeduría","JERSEY F/LYCRA RANDOM","pp",0.00,base.USD
mrp_wco_29,"Acabados","ACABADO HIDROFILO","pp",0.50,base.USD
mrp_wco_30,"Tejeduría","PIQUE OXFORD","pp",0.00,base.USD
mrp_wco_31,"Tejeduría","RIB 2X1 F/LYCRA","pp",0.00,base.USD
mrp_wco_32,"Tejeduría","RIB 1X1 F/LYCRA","pp",0.00,base.USD
mrp_wco_33,"Tejeduría","INTERLOCK INGENIERIA","pp",0.00,base.USD
mrp_wco_34,"Tejeduría","CORDON TRENZADO","pp",0.00,base.USD
mrp_wco_35,"Acabados","CERTIFICADO SUPIMA","pp",0.90,base.USD
mrp_wco_36,"Tejeduría","INTERLOCK ACANALADO","pp",1.20,base.USD
mrp_wco_37,"Tejeduría","JERSEY INGENIERIA F/LYCRA","pp",0.00,base.USD
mrp_wco_38,"Acabados","WICKING","pp",0.40,base.USD
mrp_wco_39,"Acabados","SUAVIZADO TUBULAR","pp",0.00,base.USD
mrp_wco_40,"Acabados","CAMBIAR RESINADO LUXURY","pp",0.00,base.USD
mrp_wco_41,"Acabados","CENTRIFUGADO","pp",0.50,base.USD
mrp_wco_42,"Tejeduría","JERSEY F/LYCRA","pp",0.00,base.USD
mrp_wco_43,"Tejeduría","JERSEY FEED F/LYCRA","pp",0.00,base.USD
mrp_wco_44,"Acabados","ACABADO SOLO AGUA","pp",0.50,base.USD
mrp_wco_45,"Tejeduría","FRENCH TERRY LYCRADO","pp",0.00,base.USD
mrp_wco_46,"Acabados","LAVADO ROTOCLEAN","pp",1.00,base.USD
mrp_wco_47,"Tejeduría","RIB 2X1 2 CABOS","pp",0.00,base.USD
mrp_wco_48,"Tejeduría","F TERRY DIAGONAL","pp",0.90,base.USD
