id,code,name
product_appearance_CA,"CA","CALANDRADO"
product_appearance_CR,"CR","CRUDO SIN TEÑIDO"
product_appearance_CC,"CC","COMBINACION CRUDO/MELANGE"
product_appearance_CO,"CO","COMPACTADO"
product_appearance_CT,"CT","CRUDO TERMOFIJADO"
product_appearance_EC,"EC","ESTAMPADO / COMPACTADO"
product_appearance_ED,"ED","ESTAMPADO DEVORÉ"
product_appearance_EH,"EH","ESTAMPADO DISCHARGE"
product_appearance_EP,"EP","ESTAMPADO CON PIGMENTO"
product_appearance_ER,"ER","ESTAMPADO CON REACTIVOS"
product_appearance_ES,"ES","ESMERILADO"
product_appearance_FA,"FA","LISTADO FEED / THERMO ACABADO"
product_appearance_FC,"FC","LISTADO FEED / COMPACTADO"
product_appearance_FD,"FD","LISTADO FEED"
product_appearance_FE,"FE","LISTADO FEED / ESMERILADO"
product_appearance_HC,"HC","HILO COLOR"
product_appearance_HE,"HE","HILO COLOR ESMERILADO"
product_appearance_HM,"HM","COMBINACION MELANGE/HILO COLOR"
product_appearance_HS,"HS","HILO COLOR SPACE DYE"
product_appearance_IA,"IA","LISTADO INGENIERIA / THERMO ACABADO"
product_appearance_IC,"IC","LISTADO INGENIERIA / COMPACTADO"
product_appearance_IE,"IE","LISTADO INGENIERIA / ESMERILADO"
product_appearance_IN,"IN","LISTADO INGENIERIA"
product_appearance_JA,"JA","JASPEADO"
product_appearance_JC,"JC","JASPEADO / COMPACTADO"
product_appearance_JE,"JE","JASPEADO / ESMERILADO"
product_appearance_JP,"JP","JASPEADO / PERCHADO"
product_appearance_LJ,"LJ","LIJADO"
product_appearance_MB,"MB","MELANGE (BLANQUEADO)"
product_appearance_MC,"MC","MELANGE COMPACTADO"
product_appearance_ME,"ME","MELANGE ESMERILADO"
product_appearance_MG,"MG","MELANGE C/TIPPING"
product_appearance_ML,"ML","MELANGE (LAVADO)"
product_appearance_MP,"MP","MELANGE PERCHADO"
product_appearance_MT,"MT","MELANGE (TEÑIDO)"
product_appearance_MU,"MU","MELANGE TUNDIDO"
product_appearance_MW,"MW","MELANGE ESMERILADO / PERCHADO"
product_appearance_MX,"MX","MELANGE TERMOFIJADO"
product_appearance_M5,"M5","MELANGE HEATHER (Oscuro)"
product_appearance_OX,"OX","OXIDADO"
product_appearance_OE,"OE","OXIDADO ESMERILADO"
product_appearance_PC,"PC","PERCHADO"
product_appearance_PE,"PE","PERCHADO / ESMERILADO"
product_appearance_PL,"PL","PERCHADO / LIJADO"
product_appearance_PS,"PS","PREPARADO PARA ESTAMPAR"
product_appearance_PT,"PT","PREPARADO PARA TEÑIR"
product_appearance_RE,"RE","RESINADO"
product_appearance_SA,"SA","SANFORIZADO"
product_appearance_SO,"SO","SOLIDO"
product_appearance_TA,"TA","THERMO ACABADO"
product_appearance_TB,"TB","THERMOBLANQUEADO"
product_appearance_TC,"TC","TIPPING HILO COLOR"
product_appearance_TP,"TP","TIPPING PES "
product_appearance_TU,"TU","TUNDIDO"
product_appearance_XE,"XE","ESTAMPADO COMPLEMEARIO"
