id,code,name
product_fiber_A,"A","Algodón"
product_fiber_C,"C","Algodón Open End"
product_fiber_D,"D","Algodón Pima Peinado"
product_fiber_E,"E","Expandex (Lycra)"
product_fiber_F,"F","Algodón Flamé"
product_fiber_L,"L","Lana"
product_fiber_M,"M","Modal"
product_fiber_N,"N","Nylon"
product_fiber_O,"O","Algodón Organico"
product_fiber_P,"P","Poliester Textutizado"
product_fiber_Q,"Q","Mouliné (Retorcido)"
product_fiber_S,"S","Poliester Spum"
product_fiber_T,"T","Tencel"
product_fiber_U,"U","Neal"
product_fiber_V,"V","Viscosa"
product_fiber_W,"W","Viscosa Flamé"
product_fiber_X,"X","Viscosa Vortex"
product_fiber_Y,"Y","Multi Fibras"
product_fiber_Z,"Z","Algodón Recuperado"
product_fiber_1,"1","Algodón / Expandex"
product_fiber_2,"2","Mezcla Algodón / Viscosa"
product_fiber_3,"3","Mezcla Poliester / Algodón"
product_fiber_4,"4","Mezcla Poliester / Viscosa"
product_fiber_5,"5","Mezcla Pima / Modal"
product_fiber_6,"6","Mezcla Modal / Lana"
product_fiber_7,"7","Melange (Pes color / Algodón Crudo)"
product_fiber_8,"8","Mezcla Tencel / Supima"
product_fiber_9,"9","Combinacion Poliester Spum con Polipropileno Brillante"
