id,code,name
product_title_70,"70","70/1"
product_title_60,"60","60/1"
product_title_50,"50","50/1"
product_title_44,"44","44/1"
product_title_40,"40","40/1"
product_title_36,"36","36/1"
product_title_32,"32","32/1"
product_title_30,"30","30/1"
product_title_28,"28","28/1"
product_title_29,"29","29/1"
product_title_26,"26","26/1"
product_title_24,"24","24/1"
product_title_20,"20","20/1"
product_title_18,"18","18/1"
product_title_16,"16","16/1"
product_title_12,"12","12/1"
product_title_10,"10","10/1"
product_title_08,"08","8/1"
product_title_0O,"0O","20 De"
product_title_0P,"0P","30 De"
product_title_0Q,"0Q","40 De"
product_title_0R,"0R","70 De"
product_title_0T,"0T","150 / 96"
product_title_0U,"0U","150 / 144"
product_title_0V,"0V","100 / 34"
product_title_0W,"0W","75 / 72"
product_title_0X,"0X","75 / 36"
product_title_0Y,"0Y","70/24"
product_title_0Z,"0Z","50/24"
