id,name
base_process_1,"SOLO COLORES TMD"
base_process_2,"ACABADO PPT"
base_process_3,"AP MODAL TOC"
base_process_4,"ALGODON HUMEDO COLO"
base_process_5,"PRUEVA DE SAL"
base_process_6,"TOC COLORES"
base_process_7,"TOC BLANCOS"
base_process_8,"GAMUZA-INTER(COLORE)"
base_process_9,"GAM-RIB-INTER(BLANC)"
base_process_10,"INTER.LISTADO CHUCO"
base_process_11,"VISCOSA HUMEDO"
base_process_12,"VISVOSA LAVADO SECO"
base_process_13,"POLYCOTTON TN ALGOD"
base_process_14,"POLYCOTTON TN 2 FIB"
base_process_15,"SUAVIS ALFALINA BC"
base_process_16,"HIDROSEDAL"
base_process_17,"DISCHARGE HUMEDO"
base_process_18,"ACABADO PPT"
base_process_19,"ACABADO LUXURY"
base_process_20,"NEUT.BLANCO S/ANT"
base_process_21,"TOC COLORES"
base_process_22,"FELPA PLUS SECO"
base_process_23,"Blan-Neutr-Teñ40x60"
base_process_24,"Teñ R Esp 40x60 CHT"
base_process_25,"POLYESTER 75/72 HUM"
base_process_26,"RB"
base_process_27,"POLYESTER 150/44 HUM"
base_process_28,"RIP IMPALA HUMEDO"
base_process_29,"JABONADO POLYVISCOSA"
base_process_30,"BLANQUEO MODAL"
base_process_31,"PERCHADO ESMERILADO"
base_process_32,"TERMOBLANQUEADO ACA"
base_process_33,"EMPASTADO DIGITAL"
base_process_34,"ACAB TOPY TOP SA."
base_process_35,"VISCOSA 2 FASE/ HUM"
base_process_36,"ACABADO LUBRICANTE"
base_process_37,"ACABADO PPT SECO"
base_process_38,"NEUTRALIZADO"
base_process_39,"Blanq/TeñNav40x80x60"
base_process_40,"TeñPol/LAvRed/IsoTer"
base_process_41,"TeñPol/LAvRed/IsoMir"
base_process_42,"TeñPolSimult/LAvRed"
base_process_43,"Teñ/Pes Dianix Fran"
base_process_44,"ACABADO GRASO"
base_process_45,"Lav/Estap/Reac/Monos"
base_process_46,"Blan115-TePoly-Lavrd"
base_process_47,"MODAL / LANA"
base_process_48,"Teñ IsoGO+2 Jabx60"
base_process_49,"HIDROSEDAL F/Y HUME"
base_process_50,"RESINADO VISCOSA Ó O"
base_process_51,"TEÑ 135 PÉS+Lav Red"
base_process_52,"TEÑ ALG DYSTAR LICIT"
base_process_53,"TEÑIDO POLY RIB NUCL"
base_process_54,"(TÑ 1FIBRA ALGODON)"
base_process_55,"TEÑ135PES/LAVRED FRA"
base_process_56,"TEÑALG NUCLEO DYSTA"
base_process_57,"LUBR.COSTURA-HIDRO"
base_process_58,"TÑ 2 FIBRAS ALG-POLY"
base_process_59,"(COLOR) ALG/ VISC"
base_process_60,"POLYCOTON 1 FIBRAS"
base_process_61,"(BLANCO) ALG/ VIS"
base_process_62,"PARA ARTICULO 100%"
base_process_63,"ANTIP 0.5(0.1%)"
base_process_64,"ANTIPILLING 1.0(0.2)"
base_process_65,"ANTIPILLING 1.5(0.3)"
base_process_66,"ANTIPI. MUESTRA"
base_process_67,"ANTIPILL 0.75(0.15%)"
base_process_68,"RECETA ALGODON"
base_process_69,"PRUEVA FUNCION ESPEA"
base_process_70,"JABONADO DYESTAR"
base_process_71,"ANTIPILLING 0.5(0.1)"
base_process_72,"ANTIPILLING 1.0(0.2)"
base_process_73,"ANTIPILLING 1.5(0.3)"
base_process_74,"ANTIPILLING 0.5(0.5)"
base_process_75,"ANTIPILLING1.0(0.2)"
base_process_76,"ANTIPILLING 1.5(0.3)"
base_process_77,"CORTE Y ENGOME ORILL"
base_process_78,"RSEY 24/1 SUPIMA REA"
base_process_79,"Resinado Intensidad"
base_process_80,"resinado bajar inten"
base_process_81,"Interlock 44/1 Pima"
base_process_82,"Jersey 36/1 TMD L.E."
base_process_83,"ACABADO WICKIN SECO"
base_process_84,"Jersey 24/1 supima"
base_process_85,"Acabado sobre hum w"
base_process_86,"Resinado Wickin Fuze"
base_process_87,"RECETA ALGODON SECO"
base_process_88,"LAVADO VISCOSA"
base_process_89,"LAVADO-NAYLON"
base_process_90,"Receta subir Inten"
base_process_91,"LAVADO VISCOSA"
base_process_92,"Receta para Amarills"
base_process_93,"Receta para Limpiar"
base_process_94,"LAVADO REDUCTIVO"
base_process_95,"LAV.30/1-60/2 100%"
base_process_96,"TEÑIDO PES CATIONICO"
base_process_97,"TEÑIDO DISPERSO"
base_process_98,"TEÑIDO CATIONICO"
base_process_99,"LAV JET BLACK DYSTAR"
base_process_100,"LAVADO.RIB APM"
base_process_101,"LAV.0XLV0002"
base_process_102,"LAVADO. ALG. DYSTAR"
base_process_103,"RECETA PARA BAJAR"
base_process_104,"Lav.Frio+Teñdo 2 alc"
base_process_105,"LAVADO VISCOSA  HIDR"
base_process_106,"LAVADO ANIONICO"
base_process_107,"LAVADOS GENER 60X30"
base_process_108,"Lavado JetBlack TMD"
base_process_109,"Lavado JetBlack Modl"
base_process_110,"LavJet-TeñJet bl cht"
base_process_111,"LAVADO DESMIN. 80X20"
base_process_112,"LavjetBlack-isoterm"
base_process_113,"ACABADO ALGODON HUME"
base_process_114,"POLYESTER 150/144"
base_process_115,"LAV.MELANGE(4N10162)"
base_process_116,"LAVADOS GENER 80X20"
base_process_117,"LAVADO  MQ.03/10/12"
base_process_118,"TR. BLANQUEO OPTICO"
base_process_119,"LAVADO11/14/23/24/25"
base_process_120,"B .Q. DE HILOS"
base_process_121,"NEUT. BQ. HILOS"
base_process_122,"BLANQUEO QSI"
base_process_123,"NEUT. TÑ. HILOS"
