id,base_process_id:id,factor,product_id,uom
base_process_line1,base_process_1,50,890125,Gr/L
base_process_line2,base_process_1,20,890126,Gr/L
base_process_line3,base_process_1,60,810307,Gr/L
base_process_line4,base_process_1,0.5,800101,Gr/L
base_process_line5,base_process_2,1,800116,Gr/L
base_process_line6,base_process_2,1,800116,Gr/L
base_process_line7,base_process_3,40,890131,Gr/L
base_process_line8,base_process_3,15,890132,Gr/L
base_process_line9,base_process_3,0.5,800101,Gr/L
base_process_line10,base_process_4,30,890141,Gr/L
base_process_line11,base_process_4,60,890140,Gr/L
base_process_line12,base_process_4,20,890030,Gr/L
base_process_line13,base_process_4,0.5,890164,Gr/L
base_process_line14,base_process_5,10,800200,Gr/L
base_process_line15,base_process_5,10,800200,Gr/L
base_process_line16,base_process_6,25,890141,Gr/L
base_process_line17,base_process_6,65,890140,Gr/L
base_process_line18,base_process_6,0.5,810138,Gr/L
base_process_line19,base_process_7,25,890141,Gr/L
base_process_line20,base_process_7,65,890140,Gr/L
base_process_line21,base_process_7,0.15,810138,Gr/L
base_process_line22,base_process_8,50,890141,Gr/L
base_process_line23,base_process_8,70,890140,Gr/L
base_process_line24,base_process_8,0.5,810138,Gr/L
base_process_line25,base_process_9,50,890141,Gr/L
base_process_line26,base_process_9,70,890140,Gr/L
base_process_line27,base_process_9,0.15,810138,Gr/L
base_process_line28,base_process_10,50,890141,Gr/L
base_process_line29,base_process_10,65,890140,Gr/L
base_process_line30,base_process_10,0.5,810138,Gr/L
base_process_line31,base_process_11,20,890141,Gr/L
base_process_line32,base_process_11,20,890140,Gr/L
base_process_line33,base_process_11,0.5,810138,Gr/L
base_process_line34,base_process_12,20,890141,Gr/L
base_process_line35,base_process_12,30,890140,Gr/L
base_process_line36,base_process_12,3,890139,Gr/L
base_process_line37,base_process_12,0.5,810138,Gr/L
base_process_line38,base_process_13,25,890141,Gr/L
base_process_line39,base_process_13,60,890140,Gr/L
base_process_line40,base_process_13,0.5,810138,Gr/L
base_process_line41,base_process_14,30,890141,Gr/L
base_process_line42,base_process_14,30,890032,Gr/L
base_process_line43,base_process_15,20,890141,Gr/L
base_process_line44,base_process_15,30,890030,Gr/L
base_process_line45,base_process_15,30,900010,Gr/L
base_process_line46,base_process_15,0.5,890035,Gr/L
base_process_line47,base_process_16,10,890032,Gr/L
base_process_line48,base_process_17,40,890141,Gr/L
base_process_line49,base_process_17,40,810307,Gr/L
base_process_line50,base_process_18,80,890141,Gr/L
base_process_line51,base_process_18,0.15,810138,Gr/L
base_process_line52,base_process_19,60,900027,Gr/L
base_process_line53,base_process_19,30,890141,Gr/L
base_process_line54,base_process_20,0.8,800101,Gr/L
base_process_line55,base_process_21,25,890125,Gr/L
base_process_line56,base_process_21,20,890126,Gr/L
base_process_line57,base_process_21,60,810307,Gr/L
base_process_line58,base_process_21,0.5,800101,Gr/L
base_process_line59,base_process_22,30,890125,Gr/L
base_process_line60,base_process_22,20,890032,Gr/L
base_process_line61,base_process_23,1.5,890050,Gr/L
base_process_line62,base_process_23,3,890043,Gr/L
base_process_line63,base_process_23,0.2,810121,Gr/L
base_process_line64,base_process_23,0.5,890009,Gr/L
base_process_line65,base_process_23,0.2,890078,Gr/L
base_process_line66,base_process_23,2.5,880001,Gr/L
base_process_line67,base_process_23,4,800116,Gr/L
base_process_line68,base_process_23,0,,
base_process_line69,base_process_23,1.2,800101,Gr/L
base_process_line70,base_process_23,1,810115,Gr/L
base_process_line71,base_process_23,0,,
base_process_line72,base_process_23,1.5,810102,Gr/L
base_process_line73,base_process_23,1,810121,Gr/L
base_process_line74,base_process_23,0.5,810117,Gr/L
base_process_line75,base_process_23,30,800200,Gr/L
base_process_line76,base_process_23,0.5,810117,Gr/L
base_process_line77,base_process_23,0,10,%
base_process_line78,base_process_23,0,11,%
base_process_line79,base_process_23,0,12,%
base_process_line80,base_process_23,0,13,%
base_process_line81,base_process_23,0,14,%
base_process_line82,base_process_23,0,15,%
base_process_line83,base_process_23,0,16,%
base_process_line84,base_process_23,0,17,%
base_process_line85,base_process_23,0,18,%
base_process_line86,base_process_23,0,19,Gr/L
base_process_line87,base_process_23,0.8,800106,Gr/L
base_process_line88,base_process_23,5,800108,Gr/L
base_process_line89,base_process_23,10,800108,Gr/L
base_process_line90,base_process_24,1.5,810102,Gr/L
base_process_line91,base_process_24,1,810121,Gr/L
base_process_line92,base_process_24,0.5,810117,Gr/L
base_process_line93,base_process_24,30,800200,Gr/L
base_process_line94,base_process_24,0.5,810117,Gr/L
base_process_line95,base_process_24,0,10,%
base_process_line96,base_process_24,0,11,%
base_process_line97,base_process_24,0,12,%
base_process_line98,base_process_24,0,13,%
base_process_line99,base_process_24,0,14,%
base_process_line100,base_process_24,0,15,%
base_process_line101,base_process_24,0,16,%
base_process_line102,base_process_24,0,17,%
base_process_line103,base_process_24,0,18,%
base_process_line104,base_process_24,0,19,Gr/L
base_process_line105,base_process_24,0.8,800106,Gr/L
base_process_line106,base_process_24,5,800108,Gr/L
base_process_line107,base_process_24,10,800108,Gr/L
base_process_line108,base_process_25,30,890046,Gr/L
base_process_line109,base_process_26,1,0001,Gr/L
base_process_line110,base_process_27,30,890046,Gr/L
base_process_line111,base_process_28,30,890046,Gr/L
base_process_line112,base_process_29,0.2,890058,Gr/L
base_process_line113,base_process_29,0.1,800113,Gr/L
base_process_line114,base_process_29,0.1,800113,Gr/L
base_process_line115,base_process_30,1,890070,Gr/L
base_process_line116,base_process_30,1,810105,Gr/L
base_process_line117,base_process_30,3,890043,Gr/L
base_process_line118,base_process_30,0.2,810121,Gr/L
base_process_line119,base_process_30,0.5,890009,Gr/L
base_process_line120,base_process_30,1,880001,Gr/L
base_process_line121,base_process_30,2,800108,Gr/L
base_process_line122,base_process_31,50,890125,Gr/L
base_process_line123,base_process_32,15,880001,Gr/L
base_process_line124,base_process_32,10,890156,Gr/L
base_process_line125,base_process_32,5,150231,Gr/L
base_process_line126,base_process_33,120,890099,Gr/L
base_process_line127,base_process_33,15,810102,Gr/L
base_process_line128,base_process_33,130,800123,Gr/L
base_process_line129,base_process_33,40,800106,Gr/L
base_process_line130,base_process_34,25,810333,Gr/L
base_process_line131,base_process_34,30,810363,Gr/L
base_process_line132,base_process_34,10,890112,Gr/L
base_process_line133,base_process_34,0.5,800101,Gr/L
base_process_line134,base_process_35,5,810307,Gr/L
base_process_line135,base_process_36,80,890125,Gr/L
base_process_line136,base_process_37,40,890125,Gr/L
base_process_line137,base_process_38,1,800101,Gr/L
base_process_line138,base_process_39,2,890156,Gr/L
base_process_line139,base_process_39,3,890043,Gr/L
base_process_line140,base_process_39,0.2,810121,Gr/L
base_process_line141,base_process_39,0.5,890009,Gr/L
base_process_line142,base_process_39,2.5,880001,Gr/L
base_process_line143,base_process_39,4,800116,Gr/L
base_process_line144,base_process_39,0,,
base_process_line145,base_process_39,1,810120,Gr/L
base_process_line146,base_process_39,0.4,800101,Gr/L
base_process_line147,base_process_39,1,810115,Gr/L
base_process_line148,base_process_39,0,,
base_process_line149,base_process_39,0,810114,%
base_process_line150,base_process_39,1,810121,Gr/L
base_process_line151,base_process_39,0.3,810117,Gr/L
base_process_line152,base_process_39,80,800200,Gr/L
base_process_line153,base_process_39,0.2,810117,Gr/L
base_process_line154,base_process_39,0,10,%
base_process_line155,base_process_39,0,11,%
base_process_line156,base_process_39,0,12,%
base_process_line157,base_process_39,0,13,%
base_process_line158,base_process_39,0,14,%
base_process_line159,base_process_39,0,15,%
base_process_line160,base_process_39,0,16,%
base_process_line161,base_process_39,0,17,%
base_process_line162,base_process_39,0,18,%
base_process_line163,base_process_39,0,19,%
base_process_line164,base_process_39,0.25,800108,Gr/L
base_process_line165,base_process_39,0.35,800108,Gr/L
base_process_line166,base_process_39,1.5,800108,Gr/L
base_process_line167,base_process_39,18,800108,Gr/L
base_process_line168,base_process_39,0.5,800116,Gr/L
base_process_line169,base_process_40,2,890043,Gr/L
