id,name,default_code,ref:uom_id
product_1,"ABRASION FX","810353",uom.product_uom_kgm
product_2,"ABRAXION XF","810351",uom.product_uom_kgm
product_3,"ACIDO 760","800124",uom.product_uom_kgm
product_4,"ACIDO ACETICO GLACIAL","800101",uom.product_uom_kgm
product_5,"ACIDO AMARILLO 10G","190016",uom.product_uom_kgm
product_6,"ACIDO AMARILLO F G","190013",uom.product_uom_kgm
product_7,"ACIDO AZUL A2BL","190011",uom.product_uom_kgm
product_8,"ACIDO AZUL AJL","190033",uom.product_uom_kgm
product_9,"ACIDO CITRICO","800135",uom.product_uom_kgm
product_10,"ACIDO FORMICO","800102",uom.product_uom_kgm
product_11,"ACIDO NITRICO","890002",uom.product_uom_kgm
product_12,"ACIDO OXALICO CHINO","800103",uom.product_uom_kgm
product_13,"ACIDO ROJO 33P 100%","190023",uom.product_uom_kgm
product_14,"ACIDO ROJO 3GP","190008",uom.product_uom_kgm
product_15,"ACIDO ROJO 3GP","190024",uom.product_uom_kgm
product_16,"ACIDO ROJO 6B","190025",uom.product_uom_kgm
product_17,"ACIDO ROSA 3B 400%","190026",uom.product_uom_kgm
product_18,"ACIDO TURQUEZA JL CONC","190027",uom.product_uom_kgm
product_19,"ACIDO VIOLETA NFBL","190015",uom.product_uom_kgm
product_20,"AGUA BLANDA","0001",uom.product_uom_kgm
product_21,"AGUA OXIGENADA AL 50%","800104",uom.product_uom_kgm
product_22,"AGUA OXIGENADA AL 50% BRAS","880001",uom.product_uom_kgm
product_23,"ALBAFIX ECO","890016",uom.product_uom_kgm
product_24,"ALBAFIX RUB","810318",uom.product_uom_kgm
product_25,"ALBAFLOW CIR","810143",uom.product_uom_kgm
product_26,"ALBAFLUID CD","810310",uom.product_uom_kgm
product_27,"ALBATEX AB-55","190613",uom.product_uom_kgm
product_28,"ALBATEX AB-55","810328",uom.product_uom_kgm
product_29,"ALBATEX DS","810315",uom.product_uom_kgm
product_30,"ALBATEX SA","810316",uom.product_uom_kgm
product_31,"ALBEGAL SET","810319",uom.product_uom_kgm
product_32,"ALCOHOL INDUTRIAL","880002",uom.product_uom_kgm
product_33,"ALFALINA B","900010",uom.product_uom_kgm
product_34,"ALFALINA BC","890030",uom.product_uom_kgm
product_35,"ALFALINA NT","890152",uom.product_uom_kgm
product_36,"ALLILON AMARILLO 4G","140803",uom.product_uom_kgm
product_37,"ALLILON AMARILLO 8G","140807",uom.product_uom_kgm
product_38,"ALLILON AZUL S-RP","140819",uom.product_uom_kgm
product_39,"ALLILON AZUL SGL 200%","140804",uom.product_uom_kgm
product_40,"ALLILON ESCARLATA GS","140805",uom.product_uom_kgm
product_41,"ALLILON RED FTS 150 %","140802",uom.product_uom_kgm
product_42,"ALLILON ROJO 2B 200%","140801",uom.product_uom_kgm
product_43,"ALLILON RUBI FLN 200%","141664",uom.product_uom_kgm
product_44,"ALP CLEAN","81019",uom.product_uom_kgm
product_45,"AMPLEX 106 ac","890170",uom.product_uom_kgm
product_46,"AMPLEX AS","810211",uom.product_uom_kgm
product_47,"AMPLEX DG","860002",uom.product_uom_kgm
product_48,"AMPLEX JN","860001",uom.product_uom_kgm
product_49,"AMSABLAC BY3B","150226",uom.product_uom_kgm
product_50,"AMSABLAC BY3B CONC.","150227",uom.product_uom_kgm
product_51,"AMSABLAC BYB","150217",uom.product_uom_kgm
product_52,"AMSACID NS ECO","890035",uom.product_uom_kgm
product_53,"AMSACID NS ECO","810138",uom.product_uom_kgm
product_54,"AMSACLEAN MQ RD","890034",uom.product_uom_kgm
product_55,"AMSACTOL C","880022",uom.product_uom_kgm
product_56,"AMSAFIX","890076",uom.product_uom_kgm
product_57,"AMSAFIX DT","890085",uom.product_uom_kgm
product_58,"AMSALEVEL RTM NEW","890036",uom.product_uom_kgm
product_59,"AMSASOAP EST","890069",uom.product_uom_kgm
product_60,"AMSAVIS 5050","510132",uom.product_uom_kgm
product_61,"ANDRANET SP","890103",uom.product_uom_kgm
product_62,"ANTIVINCO AGE","890155",uom.product_uom_kgm
product_63,"APPLILUBE ACA","809051",uom.product_uom_kgm
product_64,"APPRETAN EM.PE","810136",uom.product_uom_kgm
product_65,"ARCOFIX","900000",uom.product_uom_kgm
product_66,"ARDEL FIX","890020",uom.product_uom_kgm
product_67,"ARDEL GTX","890091",uom.product_uom_kgm
product_68,"ARDEL HU","890092",uom.product_uom_kgm
product_69,"ARDEL SPM","890027",uom.product_uom_kgm
product_70,"ARDELGRAS HD","870019",uom.product_uom_kgm
product_71,"ARDEX GTX","890090",uom.product_uom_kgm
product_72,"ARKOFIX ND.PE","810342",uom.product_uom_kgm
product_73,"ARKOFIX NZK","810348",uom.product_uom_kgm
product_74,"ARRISTAN 47","810301",uom.product_uom_kgm
product_75,"ARRISTAN CPU","810358",uom.product_uom_kgm
product_76,"ASSIST","810147",uom.product_uom_kgm
product_77,"ASUGAL ALBI 58","900007",uom.product_uom_kgm
product_78,"AUROPON DLG","890093",uom.product_uom_kgm
product_79,"AUROPON W","900018",uom.product_uom_kgm
product_80,"AVITERA AMARILLO ORO SE","110105",uom.product_uom_kgm
product_81,"AVITERA AZUL CLARO SE","110102",uom.product_uom_kgm
product_82,"AVITERA CARDINAL SE","110302",uom.product_uom_kgm
product_83,"AVITERA DEEP SEA SE","110104",uom.product_uom_kgm
product_84,"AVITERA MARINO INTENSO SE","110901",uom.product_uom_kgm
product_85,"AVITERA NEGRO SE","110103",uom.product_uom_kgm
product_86,"AVIVAN SFC","810302",uom.product_uom_kgm
product_87,"BACTOSOL CNX LIQ.","890038",uom.product_uom_kgm
product_88,"BEIZYM BPN 2000","810364",uom.product_uom_kgm
product_89,"BEMACRON AMARILLO HP-LTD","160130",uom.product_uom_kgm
product_90,"BEMACRON AZUL HP-LTD","160127",uom.product_uom_kgm
product_91,"BEMACRON AZUL OSCURO HP-LT","160129",uom.product_uom_kgm
product_92,"BEMACRON NEGRO HP-LTD","160132",uom.product_uom_kgm
product_93,"BEMACRON PARDO AMARILLO S-","160131",uom.product_uom_kgm
product_94,"BEMACRON ROJO HP-LTD","160128",uom.product_uom_kgm
product_95,"BEMACRON RUBI HP-LTD","160126",uom.product_uom_kgm
product_96,"BEZAFLUOR AMARILLO BA","220001",uom.product_uom_kgm
product_97,"BEZAFLUOR ANARANJADO R","220003",uom.product_uom_kgm
product_98,"BEZAFLUOR AZUL BB","220007",uom.product_uom_kgm
product_99,"BEZAFLUOR ROJO R","220006",uom.product_uom_kgm
product_100,"BEZAFLUOR ROSA BB","220004",uom.product_uom_kgm
product_101,"BEZAFLUOR VERDE BT","220002",uom.product_uom_kgm
product_102,"BEZAFLUOR VIOLETA BR","220005",uom.product_uom_kgm
product_103,"BEZAKTIV ANARANJADO GO","220009",uom.product_uom_kgm
product_104,"BEZAKTIV AZUL FX-NN","220012",uom.product_uom_kgm
product_105,"BEZAKTIV AZUL GO","220015",uom.product_uom_kgm
product_106,"BEZAKTIV AZUL VRN","220017",uom.product_uom_kgm
product_107,"BEZAKTIV BLACK ONE","110203",uom.product_uom_kgm
product_108,"BEZAKTIV BLUE ONE","110202",uom.product_uom_kgm
product_109,"BEZAKTIV DEEP NAVY ONE","110206",uom.product_uom_kgm
product_110,"BEZAKTIV DEEP RED ONE","110205",uom.product_uom_kgm
product_111,"BEZAKTIV MARINO GO","220016",uom.product_uom_kgm
product_112,"BEZAKTIV NEGRO GO","220013",uom.product_uom_kgm
product_113,"BEZAKTIV ORANGE ONE","110204",uom.product_uom_kgm
product_114,"BEZAKTIV ROJO GO","220010",uom.product_uom_kgm
product_115,"BEZAKTIV ROJO S2B","110904",uom.product_uom_kgm
product_116,"BEZAKTIV SCARLATA GO","220014",uom.product_uom_kgm
product_117,"BEZAKTIV VERDE V-6B","220011",uom.product_uom_kgm
product_118,"BIAVIN DFG","810344",uom.product_uom_kgm
product_119,"BICARBONATO DE SODIO","800106",uom.product_uom_kgm
product_120,"BICARBONATO DE SODIO","#3",uom.product_uom_kgm
product_121,"BIOREDUCTOR S/L","890157",uom.product_uom_kgm
product_122,"BIOROL ECO","890053",uom.product_uom_kgm
product_123,"BISULFITO DE SODIO ALEMAN","800107",uom.product_uom_kgm
product_124,"BLANCOTEX C","890039",uom.product_uom_kgm
product_125,"BODACTIVE NEGRO CNN","180503",uom.product_uom_kgm
product_126,"BOOST","810148",uom.product_uom_kgm
product_127,"CARBONATO DE SODIO","800108",uom.product_uom_kgm
product_128,"CARBONATO SODIO LIVI ALEMA","#2",uom.product_uom_kgm
product_129,"CARBONATO SODIO LIVI ALEMA","900001",uom.product_uom_kgm
product_130,"CARRIER ECO SQM","810355",uom.product_uom_kgm
product_131,"CARRIETEX","810321",uom.product_uom_kgm
product_132,"CASDIZYME CR","890102",uom.product_uom_kgm
product_133,"CATAL MCA","810360",uom.product_uom_kgm
product_134,"CATALIZADOR FB","810320",uom.product_uom_kgm
product_135,"CATALIZADOR NKB LIQ 0200","810343",uom.product_uom_kgm
product_136,"CATIO.BRIL. AMARILLO FLAVI","190036",uom.product_uom_kgm
product_137,"CATIONICO AMAR ORO X-GL","190039",uom.product_uom_kgm
product_138,"CATIONICO AMARILLO X-8GL","190019",uom.product_uom_kgm
product_139,"CATIONICO AZUL TURQ G8230%","190018",uom.product_uom_kgm
product_140,"CATIONICO AZUL TURQ GB250%","190034",uom.product_uom_kgm
product_141,"CATIONICO AZUL X-GRRL 230%","190028",uom.product_uom_kgm
product_142,"CATIONICO NEGRO X-0 300%","190037",uom.product_uom_kgm
product_143,"CATIONICO RED BRILL X-5GN","190035",uom.product_uom_kgm
product_144,"CATIONICO ROJO 3R 300%","190021",uom.product_uom_kgm
product_145,"CATIONICO ROJO GTL 200%","190020",uom.product_uom_kgm
product_146,"CATIONICO ROJO X-GRL 250%","190017",uom.product_uom_kgm
product_147,"CELIDON E21","810101",uom.product_uom_kgm
product_148,"CELLUSOFT CR","810314",uom.product_uom_kgm
product_149,"CERALU NVJ","900028",uom.product_uom_kgm
product_150,"CERALUBE SDL.PE LIQ.","39",uom.product_uom_kgm
product_151,"CESPERSE AMARILLO 7GH","140824",uom.product_uom_kgm
product_152,"CESPERSE AZUL FBR 100%","140811",uom.product_uom_kgm
product_153,"CESPERSE MARINO EX-N 300%","140815",uom.product_uom_kgm
product_154,"CESPERSE NEGRO EX-SF 300%","140809",uom.product_uom_kgm
product_155,"CESPERSE PARDO AMARILL SRL","140810",uom.product_uom_kgm
product_156,"CESPERSE ROJO 2BR 200%","140823",uom.product_uom_kgm
product_157,"CESPERSE ROJO 4G","140820",uom.product_uom_kgm
product_158,"CESPERSE ROJO SF-3BS 230%","140818",uom.product_uom_kgm
product_159,"CESPERSE RUBI BL 200 %","140704",uom.product_uom_kgm
product_160,"CESPERSE TURQUEZA BB 200%","140817",uom.product_uom_kgm
product_161,"CETAVEM AZ","870002",uom.product_uom_kgm
product_162,"CHT-CATALYST FS","890049",uom.product_uom_kgm
product_163,"CIBACRON DARK BLUE W-R","111204",uom.product_uom_kgm
product_164,"CIBACRON NARANJA F-BR","111205",uom.product_uom_kgm
product_165,"CLEAN WASH SW","900029",uom.product_uom_kgm
product_166,"COLOANTES DRIMAREN","22",uom.product_uom_kgm
product_167,"COLOLAN BLACK MRL 190%","190030",uom.product_uom_kgm
product_168,"COLORANTE LIANDISPERSE","16",uom.product_uom_kgm
product_169,"COLORANTE REMAZOL","12",uom.product_uom_kgm
product_170,"COLORANTES CATIONICOS","40",uom.product_uom_kgm
product_171,"COLORANTES DISPERSOS","14",uom.product_uom_kgm
product_172,"COLORANTES EVERZOLES","10",uom.product_uom_kgm
product_173,"COLORANTES NOVACRONES","11",uom.product_uom_kgm
product_174,"COLORANTES OPTICO","15",uom.product_uom_kgm
product_175,"COLORANTES PIGMENTOS","220000",uom.product_uom_kgm
product_176,"COLORANTES REACTIVO","13",uom.product_uom_kgm
product_177,"COLORANTES REACTOBON","17",uom.product_uom_kgm
product_178,"COLORANTES SOLOFENIL","27",uom.product_uom_kgm
product_179,"COLORANTES SUNZOLES","80",uom.product_uom_kgm
product_180,"COMPLEX NBS","890072",uom.product_uom_kgm
product_181,"CONDENSOL FB","810332",uom.product_uom_kgm
product_182,"CORAFIX BLUE MERS 150%","170309",uom.product_uom_kgm
product_183,"CORAFIX CHILI RED XD","111206",uom.product_uom_kgm
product_184,"CORAFIX G YELLOW MER 180%","170301",uom.product_uom_kgm
product_185,"CORAFIX GOLDEN YELLOW MER%","130307",uom.product_uom_kgm
product_186,"CORAFIX JET BLACK GD-G","170310",uom.product_uom_kgm
product_187,"CORAFIX JET BLACK GD-RN","170303",uom.product_uom_kgm
product_188,"CORAFIX ORANGE GD-3R","170320",uom.product_uom_kgm
product_189,"CORAFIX ORANGE ME-2RN 150%","170302",uom.product_uom_kgm
product_190,"CORAFIX RED ME3B","170315",uom.product_uom_kgm
product_191,"CORAFIX RED ME4B","170306",uom.product_uom_kgm
product_192,"CORAFIX SKY BLUE G","120814",uom.product_uom_kgm
product_193,"CORALENE BLACK EX SF","140831",uom.product_uom_kgm
product_194,"CORALENE BLACK XF-DS","140838",uom.product_uom_kgm
product_195,"CORALENE BLUE 2R H/C","140835",uom.product_uom_kgm
product_196,"CORALENE BLUE BTE BG 200%","160148",uom.product_uom_kgm
product_197,"CORALENE BLUE XF","140839",uom.product_uom_kgm
product_198,"CORALENE BRILL BLUE BG","160144",uom.product_uom_kgm
product_199,"CORALENE BRILL RED BF H/C","160145",uom.product_uom_kgm
product_200,"CORALENE BTE. BLUE CB","160149",uom.product_uom_kgm
product_201,"CORALENE LUMIN PINK RBSF","160147",uom.product_uom_kgm
product_202,"CORALENE LUMIN YELLOW 8GFF","140829",uom.product_uom_kgm
product_203,"CORALENE LUMINOSO RED G","140828",uom.product_uom_kgm
product_204,"CORALENE NAVY BLUE EXSF","140830",uom.product_uom_kgm
product_205,"CORALENE NAVY XF-DS","140837",uom.product_uom_kgm
product_206,"CORALENE RED F3BS 150%","140832",uom.product_uom_kgm
product_207,"CORALENE RED VIOLET FBL","160143",uom.product_uom_kgm
product_208,"CORALENE VIOLETA S3R","160146",uom.product_uom_kgm
product_209,"CORALINE RED VIOLET FBL","140705",uom.product_uom_kgm
product_210,"CORALINE RUBI S2G 150%","140703",uom.product_uom_kgm
product_211,"CORAZOL BLUE RFT","170313",uom.product_uom_kgm
product_212,"CORAZOL BRILL YELLOW 3GL","170322",uom.product_uom_kgm
product_213,"CORAZOL NAVY RFT","170321",uom.product_uom_kgm
