id,mrwo_id,product_color_id,unit_price
product_color_price_1,"TEÑIDO 60/1","PPT",2.8
product_color_price_2,"TEÑIDO 60/1","BLANCO",3.2
product_color_price_3,"TEÑIDO 60/1","COLORES",4.5
product_color_price_5,"TEÑIDO 60/1","COLORES 2 FIBRAS",5.1
product_color_price_6,"TEÑIDO 60/1","ESPECIALES",5.4
product_color_price_7,"TEÑIDO 50/1","PPT",2.3
product_color_price_8,"TEÑIDO 50/1","BLANCO",2.7
product_color_price_9,"TEÑIDO 50/1","COLORES",4
product_color_price_11,"TEÑIDO 50/1","COLORES 2 FIBRAS",4.6
product_color_price_12,"TEÑIDO 50/1","ESPECIALES",4.6
product_color_price_13,"TEÑIDO 50/1","LAVADO",2.5
product_color_price_14,"TEÑIDO 40/1","PPT",1.9
product_color_price_15,"TEÑIDO 40/1","BLANCO",2.3
product_color_price_16,"TEÑIDO 40/1","COLORES",3.6
product_color_price_18,"TEÑIDO 40/1","COLORES 2 FIBRAS",4.2
product_color_price_19,"TEÑIDO 40/1","CLAROS ESPECIALES",4.2
product_color_price_20,"TEÑIDO 40/1","MELANGE",2.1
product_color_price_21,"TEÑIDO 40/1","ESPECIALES",4.3
product_color_price_22,"TEÑIDO 40/1","LAVADO",2.1
product_color_price_23,"TEÑIDO 36/1","PPT",1.6
product_color_price_24,"TEÑIDO 36/1","BLANCO",2
product_color_price_25,"TEÑIDO 36/1","COLORES",3.3
product_color_price_27,"TEÑIDO 36/1","COLORES 2 FIBRAS",3.9
product_color_price_28,"TEÑIDO 36/1","MELANGE",1.8
product_color_price_29,"TEÑIDO 36/1","ESPECIALES",3.9
product_color_price_30,"TEÑIDO 36/1","LAVADO",1.8
product_color_price_31,"TEÑIDO 32/1","PPT",1.5
product_color_price_32,"TEÑIDO 32/1","BLANCO",1.9
product_color_price_33,"TEÑIDO 32/1","COLORES",3.2
product_color_price_35,"TEÑIDO 32/1","COLORES 2 FIBRAS",3.8
product_color_price_36,"TEÑIDO 32/1","MELANGE",1.7
product_color_price_37,"TEÑIDO 32/1","ESPECIALES",3.8
product_color_price_38,"TEÑIDO 32/1","LAVADO",1.7
product_color_price_39,"TEÑIDO 10/1 AL 30/1","PPT",1.3
product_color_price_40,"TEÑIDO 10/1 AL 30/1","BLANCO",1.7
product_color_price_41,"TEÑIDO 10/1 AL 30/1","COLORES",3
product_color_price_43,"TEÑIDO 10/1 AL 30/1","COLORES 2 FIBRAS",3.6
product_color_price_44,"TEÑIDO 10/1 AL 30/1","CLAROS ESPECIALES",3.6
product_color_price_45,"TEÑIDO 10/1 AL 30/1","MELANGE",1.5
product_color_price_46,"TEÑIDO 10/1 AL 30/1","ESPECIALES",3.6
product_color_price_47,"TEÑIDO 10/1 AL 30/1","LAVADO",1.5
