id,workcenter_id,name
mrp_wco_1,"Estampado","EMPASTADO PP ESTAMPADO DIGITAL REACTIVO"
mrp_wco_2,"Tejeduría","RIB 2X1 FEED F/LYCRA"
mrp_wco_3,"Tejeduría","RIB 2X2 2 CABOS"
mrp_wco_4,"Tintorería","TERMOFIJADO TUBULAR"
mrp_wco_5,"Tejeduría","FRANELA"
mrp_wco_6,"Tejeduría","RECTILINEO CON RELIEVE CLOQUE"
mrp_wco_7,"Tejeduría","RECTILINEOS SIMPLE C/TIPPING"
mrp_wco_8,"Tejeduría","TEJIDO ESTRUCTURA 2 FONTURAS LISTADO INGENIERIA"
mrp_wco_9,"Tejeduría","INTERLOCK F/LYCRA"
mrp_wco_10,"Tejeduría","DURIA INTERLOCK SIMPLE 21/03/2025 12:04 TEJEDURIA INTERLOCK LYCRADO"
mrp_wco_11,"Tejeduría","RECTILINEOS OTTOMAN"
mrp_wco_12,"Tejeduría","PIQUE SIMPLE LYCRADO 36 O 40"
mrp_wco_13,"Tejeduría","RIB 2X1 INGENIERIA F/LYCRA"
mrp_wco_14,"Tejeduría","JERSEY VANISADO FEED"
mrp_wco_15,"Tejeduría","RIB 2X1 FEED"
mrp_wco_16,"Acabados","RESINADO LUXURY 1/2 RECETA"
mrp_wco_17,"Acabados","WICKING + BE SO COOL"
mrp_wco_18,"Tintorería","ANTIMICROBIAL"
mrp_wco_19,"Estampado","POLIMERIZADO"
mrp_wco_20,"Estampado","ESTAMPADO ROTATIVO PIGMENTO"
mrp_wco_21,"Tejeduría","JERSEY CALADO F/LYCRA"
mrp_wco_22,"Acabados","RESINADO LIBRE DE FORMALDEHIDO"
mrp_wco_23,"Acabados","RESINADO HIDRODUGO"
mrp_wco_24,"Tintorería","REMALLE TUBULAR CARA ADENTRO"
mrp_wco_25,"Tejeduría","INTERLOCK FEED"
mrp_wco_26,"Tejeduría","RIB PUNTO INGLES"
mrp_wco_27,"Tejeduría","JERSEY RANDOM"
mrp_wco_28,"Tejeduría","JERSEY F/LYCRA RANDOM"
mrp_wco_29,"Acabados","ACABADO HIDROFILO"
mrp_wco_30,"Tejeduría","PIQUE OXFORD"
mrp_wco_31,"Tejeduría","RIB 2X1 F/LYCRA"
mrp_wco_32,"Tejeduría","RIB 1X1 F/LYCRA"
mrp_wco_33,"Tejeduría","INTERLOCK INGENIERIA"
mrp_wco_34,"Tejeduría","CORDON TRENZADO"
mrp_wco_35,"Acabados","CERTIFICADO SUPIMA"
mrp_wco_36,"Tejeduría","INTERLOCK ACANALADO"
mrp_wco_37,"Tejeduría","JERSEY INGENIERIA F/LYCRA"
mrp_wco_38,"Acabados","WICKING"
mrp_wco_39,"Acabados","SUAVIZADO TUBULAR"
mrp_wco_40,"Acabados","CAMBIAR RESINADO LUXURY"
mrp_wco_41,"Acabados","CENTRIFUGADO"
mrp_wco_42,"Tejeduría","JERSEY F/LYCRA"
mrp_wco_43,"Tejeduría","JERSEY FEED F/LYCRA"
mrp_wco_44,"Acabados","ACABADO SOLO AGUA"
mrp_wco_45,"Tejeduría","FRENCH TERRY LYCRADO"
mrp_wco_46,"Acabados","LAVADO ROTOCLEAN"
mrp_wco_47,"Tejeduría","RIB 2X1 2 CABOS"
mrp_wco_48,"Tejeduría","F TERRY DIAGONAL"
mrp_wco_49,"Tejeduría","RIB 1X1 INGENIERIA F/LYCRA"
mrp_wco_50,"Tejeduría","JERSEY LYCRADO"
mrp_wco_51,"Tejeduría","INTERLOCK SIMPLE"
mrp_wco_52,"Tejeduría","INTERLOCK LYCRADO"
mrp_wco_53,"Tejeduría","INTERLOCK OXFORD COTTON/POLYESTER"
mrp_wco_54,"Tejeduría","JERSEY MINIJACQUARD"
mrp_wco_55,"Tejeduría","RIB MINIJACQUARD"
mrp_wco_56,"Tejeduría","RIB 1X1 50/1 LYCRADO"
mrp_wco_57,"Tejeduría","RIB OTTOMAN"
mrp_wco_58,"Tejeduría","PIQUE SIMPLE LYCRADO"
mrp_wco_59,"Tejeduría","RIB 1X1 CALADO"
mrp_wco_60,"Tintorería","PREPARADO"
mrp_wco_61,"Tintorería","LAVADO EN MAQUINA"
mrp_wco_62,"Estampado","VAPORIZADO"
mrp_wco_63,"Estampado","JABONADO"
mrp_wco_64,"Estampado","ESTAMPADO ROTATIVO DISCHARGE"
mrp_wco_65,"Estampado","ESTAMPADO DIGITAL REACTIVO"
mrp_wco_66,"Estampado","ESTAMPADO ROTATIVO REACTIVO"
mrp_wco_67,"Estampado","SECADO PPE"
mrp_wco_68,"Tejeduría","RIB CALADO"
mrp_wco_69,"Tejeduría","JERSEY CALADO"
mrp_wco_70,"Tejeduría","INTERLOCK 60"
mrp_wco_71,"Tejeduría","FELPA SIMPLE"
mrp_wco_72,"Acabados","TUNDIDO"
mrp_wco_73,"Acabados","TUNDIDO SOLO PUNTAS"
mrp_wco_74,"Tintorería","TEÑIDO 60/1"
mrp_wco_75,"Tintorería","TEÑIDO 50/1"
mrp_wco_76,"Tintorería","TEÑIDO 44/1"
mrp_wco_77,"Tintorería","TEÑIDO 40/1"
mrp_wco_78,"Tintorería","TEÑIDO 36/1"
mrp_wco_79,"Tintorería","TEÑIDO 32/1"
mrp_wco_80,"Acabados","ACABADO CON CORTE DE ORILLOS"
mrp_wco_81,"Acabados","SECADO TWILL"
mrp_wco_82,"Tejeduría","TWILL"
mrp_wco_83,"Acabados","SERVICIO DE DESENREDADO Y PLANCHADO"
mrp_wco_84,"Tejeduría","RETORCIDO"
mrp_wco_85,"Acabados","RESINADO 1/2 RECETA"
mrp_wco_86,"Tejeduría","JERSEY GAUZE"
mrp_wco_87,"Tejeduría","PIQUE LACOSTE"
mrp_wco_88,"Acabados","CAMBIAR LUX"
mrp_wco_89,"Acabados","ACABADO CON ENGOME Y CORTE DE ORILLOS"
mrp_wco_90,"Tejeduría","RECTILINEOS SIMPLE"
mrp_wco_91,"Tejeduría","JERSEY END ON END"
mrp_wco_92,"Tintorería","LAVADO"
mrp_wco_93,"Acabados","ACABADO LUBRICANTE DE COSTURA"
mrp_wco_94,"Tintorería","PPT"
mrp_wco_95,"Tejeduría","PIQUE SIMPLE"
mrp_wco_96,"Acabados","ACABADO SOLO SUAVIZANTE DE COSTURA"
mrp_wco_97,"Tejeduría","F TERRY SIMPLE"
mrp_wco_98,"Acabados","ACABADO TUBULAR"
mrp_wco_99,"Tejeduría","DOBLE FACE PIQUE"
mrp_wco_100,"Tejeduría","JERSEY FEED"
mrp_wco_101,"Tejeduría","RIB 1X1 FEED"
mrp_wco_102,"Acabados","HIDRO"
mrp_wco_103,"Tejeduría","RECTILINEOS OXFORD"
mrp_wco_104,"Tejeduría","RIB 1X1 VANISADO"
mrp_wco_105,"Tejeduría","RIB 1X1 LYCRADO"
mrp_wco_106,"Tintorería","PROTECTOR UV"
mrp_wco_107,"Tejeduría","RIB 1X1 2 CABOS"
mrp_wco_108,"Tejeduría","TEJIDO ESTRUCTURA 2 FONTURAS"
