id,code,name
ligament_type_1,"","RIB"
ligament_type_2,"","JERSEY"
ligament_type_3,"","JERSIN"
ligament_type_4,"","SPANDEX"
ligament_type_5,"","RIB 2X1"
ligament_type_6,"","INTERLOCK"
ligament_type_7,"","FLOTE"
ligament_type_8,"","RIB 2X1 2"
ligament_type_9,"","PIQUE LACO"
ligament_type_10,"","LYCRA"
ligament_type_11,"","RIB 1X1 CA"
ligament_type_12,"","RETENIDO"
ligament_type_13,"","VANISADO"
ligament_type_14,"","RIB 1X1"
ligament_type_15,"","RIB 2 CABO"
ligament_type_16,"","RIZO"
ligament_type_17,"","JERSEY/PIQ"
ligament_type_18,"","PIQUE"
ligament_type_19,"","TUBULAR"
ligament_type_20,"","PLATO"
ligament_type_21,"","JER/PIQUE"
ligament_type_22,"","ESTRUCTURA"
ligament_type_23,"","RIB 1X1 2"
ligament_type_24,"","JERSEY 2 C"
ligament_type_25,"","VANIZADO"
ligament_type_26,"","JERSEY CAR"
ligament_type_27,"","JERSEY VAN"
ligament_type_28,"","RIB VARIGA"
ligament_type_29,"","FLOTE DIAG"
ligament_type_30,"","AMARRE"
ligament_type_31,"","CUERPO"
ligament_type_32,"","TIPPING"
ligament_type_33,"","POLIESTER"
ligament_type_34,"","JERSERA"
ligament_type_35,"","JERSEY REV"
ligament_type_36,"","JERSEY PLA"
ligament_type_37,"","JERSEY X 2"
ligament_type_38,"","CREPE"
ligament_type_39,"","JERSEY+PIQ"
ligament_type_40,"","RIB 4X2"
ligament_type_41,"","JERSEY CIL"
ligament_type_42,"","JERSEY PAR"
ligament_type_43,"","JERSEY IMP"
ligament_type_44,"","JERSEY 3 C"
ligament_type_45,"","FLOTEX 2 C"
ligament_type_46,"","JERSEY 2C"
ligament_type_47,"","FLOTE X 2"
ligament_type_48,"","JERSEY X2C"
ligament_type_49,"","RIB 1X1 X2"
ligament_type_50,"","RIB 4X4"
ligament_type_51,"","JERSEY CRE"
ligament_type_52,"","ORILLO"
ligament_type_53,"","VARIGATED"
ligament_type_54,"","CARA JERSE"
ligament_type_55,"","REVEZ VANI"
ligament_type_56,"","RIB 5X4"
ligament_type_57,"","JERSEY F"
ligament_type_58,"","VARIG"
ligament_type_59,"","RIB 2X1 PA"
ligament_type_60,"","RIB 2X1 IM"
ligament_type_61,"","SPANDEX JE"
ligament_type_62,"","CUERPO X 5"
