id,code,name
product_family_AD,"AD","Jersey Angora Doble Cara"
product_family_AG,"AG","Jersey Angora"
product_family_AL,"AL","Jersey Angora con Lycra"
product_family_BL,"BL","Blonda"
product_family_CD,"CD ","Cuello Doble Cara"
product_family_CO,"CO","Cuello Ottoman"
product_family_CR,"CR","Cuello con Tipping"
product_family_CT,"CT","Cinta"
product_family_CU,"CU","Cuello Llano"
product_family_EN,"EN","ENCAJE"
product_family_FB,"FB","Flat Back"
product_family_FD,"FD","French Terry Diagonal"
product_family_FX,"FX","FELPA  TOHALLA"
product_family_FE,"FE ","Felpa"
product_family_FG,"FG","French Terry Diagonal con Lycra"
product_family_FH,"FH","French Terry Diagonal Full Lycra"
product_family_FI,"FI","Franela Invisible 3 hilos"
product_family_FJ,"FJ","French Terry Invisible 3 hilos"
product_family_FL,"FL","Franela  2 hilos con Lycra"
product_family_FR,"FR","Franela Normal 2 hilos"
product_family_FT,"FT","French Terry"
product_family_FU,"FU","French Terry con Lycra"
product_family_FW,"FW","French Terry Full Lycra"
product_family_FY,"FY","Franela Full Lycra"
product_family_GF,"GF","Gamuza Feed"
product_family_GM,"GM","Gamuza Simple"
product_family_IF,"IF","Interlock Feed"
product_family_IN,"IN","Interlock"
product_family_JC,"JC","Jersey Doble Cara"
product_family_JD,"JD","Jersey Diagonal"
product_family_JE,"JE","Jersey Simple"
product_family_JF,"JF","Jersey Flamé"
product_family_JG,"JG","Jersey Flamé Full Lycra"
product_family_JI,"JI","Jersey Listado Ingenieria"
product_family_JJ,"JJ","Jersey Listado Ingenieria Full Lycra"
product_family_JL,"JL","Jersey con Lycra"
product_family_JM,"JM","Jersey Multifibra"
product_family_JN,"JN","Jersey Multifibra Full Lycra"
product_family_JP,"JP","Jersey Piqué"
product_family_JQ,"JQ","Jacquard"
product_family_JR,"JR","Jersey Listado Feed"
product_family_JS,"JS","Jersey Listado Feed Full Lycra"
product_family_JV,"JV","Jersey Vanizado"
product_family_JX,"JX","Jersey Especial"
product_family_JY,"JY","Jersey Full Lycra"
product_family_MP,"MP","Micro Piqué (Doble Fontura)"
product_family_MW,"MW","Mini Waffle"
product_family_PD,"PD","Piqué Doble"
product_family_PE,"PE","Piqué simple con Lycra"
product_family_PG,"PG","Piqué Listado Ingenieria"
product_family_PI,"PI","Piqué Simple"
product_family_PL,"PL","Piqué Lacoste"
product_family_PO,"PO","Puño Ottoman"
product_family_PP,"PP","Popelina"
product_family_PQ,"PQ","Piqué Jackard"
product_family_PR,"PR","Pique Rayas Feed"
product_family_PR,"PR","Prendas"
product_family_PT,"PT","Pretina"
product_family_PU,"PU","Puños"
product_family_PX,"PX","Piqué Oxford"
product_family_PY,"PY","Piqué simple full Lycra"
product_family_R4,"R4","Rib 4x2"
product_family_R5,"R5","Rib 5x1"
product_family_RB,"RB","Rib 2x1"
product_family_RD,"RD","Rib 2x1 con Lycra"
product_family_RE,"RE","Rib 2x1 full Lycra"
product_family_RF,"RF","Rib Flamé"
product_family_RG,"RG","Rib Flat Back"
product_family_RH,"RH","Rib Flat Back con Lycra"
product_family_RI,"RI","Rib 1x1"
product_family_RL,"RL","Rib 1x1 con Lycra"
product_family_RP,"RP","Rib Impala"
product_family_RQ,"RQ","Rib Punto Inglés"
product_family_RV,"RV","Rib Varigated"
product_family_RY,"RY","Rib 1x1  full Lycra"
product_family_RZ,"RZ","Rib Desagujado"
product_family_TO,"TO","Toalla"
product_family_TP,"TP","Tela Plana"
product_family_TW,"TW","Twill"
product_family_WF,"WF","Waffle"
product_family_WT,"WT","Waffle Thermal"
