id,name,is_lab_color
product_color_1,"CRUDO",False
product_color_2,"PPT",False
product_color_3,"BLANCO",True
product_color_4,"COLORES",True
product_color_5,"PPT TIOTAN",False
product_color_6,"BLANCO TIOTAN",True
product_color_7,"COLORES TIOTAN",True
product_color_8,"UNA FIBRA",True
product_color_9,"DOS FIBRAS",True
product_color_10,"CLAROS ESPECIALES",True
product_color_11,"MELANGE",True
product_color_12,"MEDIOS PASTELES",True
product_color_13,"ESPECIALES AZUL",True
product_color_14,"HIDRO",False
product_color_15,"LAVADO BLANQUEO",False
