id,code,name,orden
sitpro_sale_type_001,1,"SERVICIO DE TEJIDO CON HILO DEL CLIENTE",S
sitpro_sale_type_002,2,"SERVICIO DE TEÑIDO CON CRUDO DEL CLIENTE",S
sitpro_sale_type_003,3,"SERVICIO DE TEJIDO Y TEÑIDO CON HILO DEL CLIENTE",S
sitpro_sale_type_004,4,"SERVICIO DE TERMOFIJADO",S
sitpro_sale_type_005,5,"SERVICIO DE LAVADO Y RAMEADO",S
sitpro_sale_type_006,6,"SERVICIO DE PERCHADO",S
sitpro_sale_type_007,7,"SERVICIO DE LIJADO",S
sitpro_sale_type_008,8,"SERVICIO DE LAVADO Y TAMBLEADO",S
sitpro_sale_type_009,9,"SERVICIO DE ESTAMPADO",S
sitpro_sale_type_010,10,"SERVICIO DE RAMEADO",S
sitpro_sale_type_011,11,"SERVICIO DE LAVADO Y SILICONADO",S
sitpro_sale_type_012,12,"SERVICIO DE COMPACTADO",S
sitpro_sale_type_013,13,"SERVICIO DE MITESS",S
sitpro_sale_type_014,14,"SERVICIO DE TUNDIDO",S
sitpro_sale_type_015,15,"VENTA DE TELA CRUDA",V
sitpro_sale_type_016,16,"VENTA DE TELA CRUDA Y TEÑIDA",V
sitpro_sale_type_017,17,"VENTA DE TELA CRUDA Y ESTAMPADA",V
sitpro_sale_type_018,18,"VENTA DE TELA DE STOCK CON PROCESO ADICIONAL",V
sitpro_sale_type_019,19,"SERVICIO DE TAMBLEADO",S
sitpro_sale_type_020,20,"SERVICIO DE PLISADO",S
sitpro_sale_type_021,21,"SERVICIO DE LAVADO Y SUAVIZADO",S
sitpro_sale_type_022,22,"SERVICIO DE ANTIPILLING",S
sitpro_sale_type_023,23,"SERVICIO DE DESCRUDADO",S
sitpro_sale_type_024,24,"SERVICIO DE ESMERILADO",S
sitpro_sale_type_025,25,"SERVICIO DE LAVADO",S
sitpro_sale_type_026,26,"VENTA DE ALGODÓN / POLYESTER FIBRA",F
sitpro_sale_type_027,27,"STOCK DE ALMACEN HILOS",F
sitpro_sale_type_028,28,"VENTA DE PRENDAS CONFECCIONADAS",F
sitpro_sale_type_029,29,"STOCK DE ALMACEN",F
sitpro_sale_type_030,30,"VENTA DE STOCK DE CRUDO",F
sitpro_sale_type_031,31,"TELA REMATE",F
sitpro_sale_type_032,32,"SERVICIO DE OXIDADO",S
sitpro_sale_type_033,33,"RESIDUOS VARIOS",F
sitpro_sale_type_034,34,"SERVICIO DE TERMOFIJADO, TEÑIDO Y RAMEADO",S
sitpro_sale_type_035,35,"SERVICIO DE TEÑIDO, ANTIPILLING Y SILICONADO",S
sitpro_sale_type_036,36,"SERVICIO DE TERMOFIJADO,  LAVADO, SUAVIZADO Y RAMEADO",S
sitpro_sale_type_037,37,"SERVICIO DE SUAVIZADO EN RAMA",S
sitpro_sale_type_038,38,"VENTA DE TELA CRUDA, TEÑIDA Y PIGMENTADA",V
sitpro_sale_type_039,39,"VENTA DE TELA STOCK, TEÑIDA Y PIGMENTADA",V
sitpro_sale_type_040,40,"OTROS SERVICIOS",S
sitpro_sale_type_041,41,"VENTA DE TELA CRUDA Y PROCESADA",V
sitpro_sale_type_042,42,"SERVICIO DE TEJIDO Y PROCESADO",S
sitpro_sale_type_043,43,"VENTA DE TELA STOCK Y PROCESADA",V
sitpro_sale_type_044,44,"VENTA ACTIVOS",V
sitpro_sale_type_045,45,"VENTA ACTIVOS LEASING",V
sitpro_sale_type_046,46,"REGULARIZACIONES",V
sitpro_sale_type_047,47,"TITULO GRATUITIO-DONACION",V
sitpro_sale_type_048,48,"VENTA DE HILO TEÑIDO",V
sitpro_sale_type_049,48,"VENTA DE ALGODÓN RECUPERADO BAJO CARDA",V
sitpro_sale_type_050,43,"SERVICIO DE TEÑIDO DE HILO",S
sitpro_sale_type_051,49,"VENTA DE SUB PRODUCTO DE ALGODÓN CINTA",V
sitpro_sale_type_052,50,"VENTA DE SUB PRODUCTO DE ALGODÓN PABILO",V
sitpro_sale_type_053,51,"VENTA DE SUB PRODUCTO DE ALGODÓN PNEUMAFIL",V
sitpro_sale_type_054,52,"VENTA DE PASTO ARTIFICIAL RECREATIVO",V
sitpro_sale_type_055,53,"VENTA DE POLOS  (DAMAS, CABALLEROS, NIÑOS)",V
sitpro_sale_type_056,54,"FIBRA DE ALGODON AMERICANO TIPO ALCALA",V
sitpro_sale_type_057,55,"VENTA DE HILADO POLIVISCOSA 30/1",V
sitpro_sale_type_058,56,"VENTA DE HILO ALGODON CARDADO P 24/1",V
sitpro_sale_type_059,57,"VENTA DE SUB PRODUCTO DE ALGODON TIPO NOIL",V
sitpro_sale_type_060,58,"SERVICIO DE HILATURA 30/1 HILADO DE FIBRA DE ALGODON",S
sitpro_sale_type_061,59,"VENTA DE SUB PRODUCTO DE ALGODÓN TIPO WAYPE",V
sitpro_sale_type_062,60,"VENTA DE HILO",V
sitpro_sale_type_063,60,"SERVICIO DE TEJIDO Y TERMOFIJADO",S
sitpro_sale_type_064,61,"VENTA DE FARDOS DE FIBRA",V
sitpro_sale_type_065,62,"SERVICIO RETORCIDO DE HILO",S
sitpro_sale_type_066,63,"SERVICIO DE HILATURA",S
sitpro_sale_type_067,64,"VENTA DE PRODUCTO QUIMICO",V
sitpro_sale_type_068,65,"VENTA DE PRENDAS",V
sitpro_sale_type_069,66,"DISEÑO EST. M. MANUAL",V
sitpro_sale_type_070,67,"DISEÑO EST. M. MANUAL",S
sitpro_sale_type_071,68,"FIBRA DE ALGODÓN TANGUIS",V
sitpro_sale_type_072,69,"VENTA DE HILO 10/1 OPEN",V
sitpro_sale_type_073,70,"VENTA DE HILO 10/1 POLY COTTON 50/50",V
sitpro_sale_type_074,71,"VENTA DE TELA ESTAMPADA",V
sitpro_sale_type_075,72,"VENTA DE TELA PREPARADA PARA ESTAMPAR",V
